,idPlateInitialWeight,SampleName,idPlateStandardWeight,WorkerName,InitialWeight
243,243,G248,88,,55.1901
244,244,G257,87,,57.20211
245,245,G245,88,,53.97428
246,246,G253,87,,54.42981
247,247,G247,89,,55.22801
248,248,G244,86,,54.66021
249,249,G260,88,,55.35338
250,250,G255,86,,53.75684
251,251,G251,86,,55.96986
252,252,G258,87,,56.72097
253,253,G261,92,,55.27126
254,254,G262,93,,53.33081
255,255,G263,93,,55.63126
256,256,G264,92,,55.31781
257,257,G265,93,,54.86981
258,258,G266,93,,54.91707
259,259,G267,93,,55.53424
260,260,G268,92,,54.83156
261,261,G269,92,,55.11641
262,262,G270,94,,55.363
263,263,G271,92,,56.10446
264,264,G272,94,,55.28403
265,265,G273,94,,55.81595
266,266,G274,94,,56.05047
267,267,G275,94,,54.35557
268,268,G276,98,,56.76936
269,269,G277,97,,56.33574
270,270,G278,97,,55.833505
271,271,G279,97,,55.42721
272,272,G280,97,,55.00773
273,273,G281,98,,54.8383
274,274,G282,98,,55.20795
275,275,G283,97,,56.54603
276,276,G284,98,,56.20802
277,277,G285,98,,55.92981
278,278,G229,98,,54.5695
279,279,G290,103,,55.22828
280,280,G291,102,,52.03019
281,281,G292,102,,55.28912
282,282,G293,100,,55.45055
283,283,G294,103,,55.19119
284,284,G295,100,,52.82033
285,285,G296,103,,53.43217
286,286,G297,102,,57.14437
287,287,G298,103,,56.86598
288,288,G299,100,,54.71754
289,289,G300,100,,52.37667
290,290,G301,101,,55.07962
291,291,G302,100,,52.28259
292,292,G303,100,,53.82631
293,293,G304,102,,55.36502
294,294,G305,101,,52.06168
295,295,G306,101,,55.70805
296,296,G307,102,,53.60551
297,297,G308,101,,53.72487
298,298,G309,103,,56.42238
299,299,G310,107,,54.34298
300,300,G311,104,,54.17206
301,301,G312,107,,53.83757
302,302,G313,106,,51.53107
303,303,G314,107,,54.13883
304,304,G315,106,,52.45893
305,305,G316,104,,54.28809
306,306,G317,104,,55.13059
307,307,G318,106,,55.34583
308,308,G319,104,,55.4272
309,309,G320,106,,53.19901
310,310,G321,105,,53.62921
311,311,G322,106,,54.74008
312,312,G323,105,,53.62921
313,313,G324,105,,53.40421
314,314,G325,105,,52.78069
315,315,G326,105,,52.73107
316,316,G327,107,,53.3622
317,317,G328,107,,53.68083
318,318,G329,104,,53.05535
319,319,G330,108,,53.25532
320,320,G332,109,,53.35389
321,321,G333,109,,53.60149
322,322,G335,108,,54.62088
323,323,G336,108,,55.57945
324,324,G337,108,,55.57945
325,325,G338,108,,54.7856
326,326,G339,111,,54.5367
327,327,G340,111,,55.22692
328,328,G341,110,,54.68086
329,329,G342,110,,54.99263
330,330,G343,110,,54.09905
331,331,G344,110,,55.25681
332,332,G345,110,,54.62724
333,333,G346,111,,52.9992
334,334,G347,112,,54.61539
335,335,G348,112,,54.5426
336,336,G349,112,,54.21022
337,337,G350,112,,55.14733
338,338,G351,112,,53.59262
339,339,G352,111,,53.62531
340,340,G353,111,,54.68515
341,341,G354,129,,51.99888
342,342,G355,129,,54.54355
343,343,G356,129,,54.43294
344,344,G357,129,,52.67768
345,345,G358,129,,53.51376
346,346,G359,130,,53.59027
347,347,G360,130,,54.19313
348,348,1537,97,,55.38033
349,349,1538,97,,55.33676
350,350,1702,109,,56.06773
351,351,1705,109,,54.28019
352,352,G250,87,,55.13098
353,353,1520,96,,54.18571
354,354,G254,87,,53.40603
355,355,G252,88,,53.51685
356,356,G249,88,,54.89222
357,357,G243,89,,52.1476
358,358,G246,90,,55.89089
359,359,G242,90,,52.84495
360,360,G227,82,,53.80034
361,361,G231,82,,54.44074
362,362,1521,96,,54.18571
363,363,1539,97,,55.3227
364,364,G363,122,,53.40175
365,365,G368,122,,52.28651
366,366,G371,122,,53.1344
367,367,G373,122,,52.89906
368,368,G381,122,,54.09991
369,369,G361,130,,54.19313
370,370,G362,130,,53.89731
371,371,G364,130,,55.46454
372,372,G365,131,,51.96862
373,373,G366,131,,52.144
374,374,G367,131,,51.56913
375,375,G369,131,,52.59467
376,376,G370,131,,53.05842
377,377,G372,132,,52.20943
378,378,G374,132,,54.72742
379,379,G375,132,,54.86825
380,380,G376,132,,54.42552
381,381,G377,132,,55.21807
382,382,G378,133,,54.74999
383,383,G379,133,,54.82744
384,384,G380,133,,56.25598
385,385,G382,133,,55.06842
386,386,G383,133,,52.14159
387,387,G384,154,,52.39139
388,388,G385,154,,51.15528
389,389,G386,154,,52.79323
390,390,G387,154,,52.72339
391,391,G388,154,,50.7914
392,392,G389,155,,49.66318
393,393,G390,155,,53.76312
394,394,G391,155,,54.467
395,395,G392,155,,50.4314
396,396,G393,155,,51.28751
397,397,G394,156,,54.25216
398,398,G395,156,,53.18216
399,399,G396,156,,55.379
400,400,G397,156,,55.08955
401,401,G398,156,,51.80338
402,402,G399,157,,53.23623
403,403,G400,157,,53.12059
404,404,G401,157,,52.07333
405,405,G402,157,,53.58339
406,406,G403,157,,52.80368
407,407,G404,158,,51.92727
408,408,G405,158,,52.7671
